iter	Passed	Remaining
0	138	137948
1	138	69198
2	139	46274
3	139	34808
4	140	27928
5	140	23342
6	141	20068
7	142	17610
8	142	15699
9	143	14169
10	143	12917
11	144	11874
12	144	10991
13	145	10235
14	145	9579
15	146	9009
16	147	8510
17	147	8059
18	148	7655
19	148	7292
20	149	6963
21	149	6664
22	150	6390
23	150	6138
24	151	5907
25	152	5695
26	152	5499
27	153	5315
28	153	5142
29	154	4981
30	154	4830
31	155	4689
32	155	4557
33	155	4432
34	156	4314
35	156	4203
36	157	4099
37	158	4003
38	158	3908
39	159	3818
40	159	3733
41	160	3652
42	160	3574
43	161	3499
44	161	3428
45	162	3361
46	162	3295
47	163	3236
48	163	3177
49	164	3120
50	164	3065
51	165	3012
52	165	2961
53	166	2912
54	166	2865
55	167	2819
56	167	2775
57	168	2733
58	168	2693
59	169	2653
60	169	2614
61	170	2577
62	170	2541
63	171	2505
64	171	2471
65	172	2438
66	172	2406
67	173	2375
68	173	2346
69	174	2317
70	174	2288
71	175	2261
72	175	2233
73	176	2207
74	176	2181
75	177	2156
76	177	2132
77	178	2108
78	178	2085
79	179	2069
80	180	2047
81	180	2026
82	181	2002
83	181	1982
84	182	1962
85	182	1942
86	183	1922
87	183	1904
88	184	1885
89	184	1867
90	185	1850
91	185	1833
92	186	1816
93	186	1799
94	187	1783
95	187	1767
96	188	1751
97	188	1736
98	189	1721
99	189	1706
100	190	1693
101	190	1679
102	191	1666
103	191	1652
104	192	1639
105	192	1625
106	193	1613
107	193	1600
108	194	1588
109	195	1578
110	195	1567
111	196	1556
112	196	1545
113	197	1535
114	198	1525
115	198	1514
116	199	1502
117	199	1493
118	200	1484
119	201	1475
120	201	1466
121	202	1455
122	202	1446
123	203	1436
124	204	1428
125	204	1419
126	205	1409
127	205	1400
128	206	1391
129	206	1382
130	207	1374
131	207	1365
132	208	1357
133	208	1349
134	209	1341
135	209	1332
136	210	1324
137	210	1316
138	211	1308
139	211	1300
140	212	1293
141	212	1285
142	213	1278
143	213	1270
144	214	1263
145	214	1256
146	215	1249
147	215	1241
148	216	1234
149	216	1228
150	217	1221
151	217	1215
152	218	1208
153	218	1202
154	219	1195
155	219	1189
156	220	1182
157	220	1176
158	221	1170
159	221	1164
160	222	1157
161	222	1151
162	223	1146
163	223	1140
164	224	1134
165	224	1129
166	225	1123
167	225	1117
168	226	1112
169	226	1106
170	227	1101
171	227	1095
172	228	1090
173	228	1086
174	229	1081
175	229	1075
176	230	1070
177	230	1065
178	231	1060
179	231	1055
180	232	1051
181	232	1046
182	233	1041
183	233	1037
184	234	1032
185	234	1027
186	235	1023
187	235	1018
188	236	1014
189	236	1009
190	237	1005
191	237	1000
192	238	996
193	238	992
194	239	988
195	239	984
196	240	979
197	240	975
198	241	971
199	241	967
200	242	963
201	242	959
202	243	955
203	243	951
204	244	947
205	245	944
206	245	940
207	246	936
208	246	933
209	247	929
210	247	925
211	248	921
212	248	918
213	248	914
214	249	911
215	250	907
216	250	904
217	251	900
218	251	897
219	252	893
220	252	890
221	253	887
222	253	883
223	254	880
224	254	876
225	255	873
226	255	870
227	256	868
228	256	864
229	257	861
230	257	858
231	258	855
232	258	852
233	259	848
234	259	845
235	260	842
236	260	839
237	261	837
238	261	834
239	262	831
240	262	828
241	263	825
242	263	822
243	264	819
244	264	816
245	265	813
246	265	810
247	266	808
248	267	805
249	267	802
250	268	800
251	268	797
252	269	794
253	269	791
254	270	788
255	270	786
256	271	783
257	271	780
258	272	778
259	272	776
260	273	773
261	273	771
262	274	768
263	274	765
264	275	763
265	275	760
266	276	758
267	276	755
268	277	753
269	277	750
270	278	748
271	278	746
272	279	743
273	279	741
274	280	738
275	280	736
276	281	733
277	281	731
278	282	729
279	282	726
280	283	724
281	283	722
282	284	720
283	284	717
284	285	715
285	285	713
286	286	711
287	286	708
288	287	706
289	287	704
290	288	702
291	288	700
292	289	698
293	289	696
294	290	694
295	290	691
296	291	689
297	292	687
298	292	685
299	293	683
300	293	681
301	294	679
302	294	677
303	295	676
304	295	674
305	296	672
306	296	670
307	297	668
308	297	666
309	298	664
310	299	662
311	299	660
312	300	658
313	300	656
314	301	654
315	301	652
316	302	650
317	302	649
318	303	647
319	303	645
320	304	643
321	304	641
322	305	639
323	305	637
324	306	635
325	306	634
326	307	632
327	307	630
328	308	628
329	308	626
330	309	624
331	309	623
332	310	621
333	310	619
334	311	618
335	311	616
336	312	614
337	312	612
338	313	611
339	313	609
340	314	607
341	314	605
342	315	604
343	315	602
344	316	600
345	316	599
346	317	597
347	317	595
348	318	594
349	318	592
350	319	590
351	320	589
352	320	587
353	321	586
354	321	584
355	322	583
356	322	581
357	323	580
358	324	578
359	324	577
360	325	575
361	325	573
362	326	572
363	326	570
364	327	569
365	327	567
366	328	566
367	328	564
368	329	563
369	329	561
370	330	560
371	330	558
372	331	557
373	331	555
374	332	554
375	332	552
376	333	551
377	334	549
378	334	548
379	335	546
380	335	545
381	336	543
382	336	542
383	337	540
384	337	539
385	338	537
386	338	536
387	339	534
388	339	533
389	340	531
390	340	530
391	341	529
392	341	527
393	342	526
394	342	524
395	343	523
396	343	521
397	344	520
398	344	519
399	345	517
400	345	516
401	346	514
402	346	513
403	347	512
404	347	510
405	348	509
406	348	507
407	349	506
408	349	505
409	350	503
410	350	502
411	351	501
412	351	499
413	352	498
414	352	496
415	352	495
416	353	494
417	354	493
418	354	491
419	355	490
420	355	489
421	356	487
422	356	486
423	357	485
424	357	483
425	358	482
426	358	481
427	359	479
428	359	478
429	360	477
430	360	476
431	361	474
432	361	473
433	362	472
434	362	470
435	363	469
436	363	468
437	364	467
438	364	465
439	365	464
440	365	463
441	366	462
442	366	461
443	367	459
444	367	458
445	368	457
446	368	456
447	369	454
448	369	453
449	370	452
450	370	451
451	371	449
452	371	448
453	372	447
454	372	446
455	373	445
456	373	443
457	374	442
458	374	441
459	375	440
460	375	439
461	376	438
462	376	436
463	377	435
464	377	434
465	378	433
466	378	432
467	379	431
468	379	429
469	380	428
470	380	427
471	381	426
472	381	425
473	382	424
474	382	423
475	383	421
476	383	420
477	384	419
478	384	418
479	385	417
480	385	416
481	386	415
482	386	414
483	387	412
484	387	411
485	388	410
486	388	409
487	389	408
488	389	407
489	390	406
490	390	405
491	391	404
492	391	403
493	392	402
494	393	400
495	393	399
496	394	398
497	394	397
498	395	396
499	395	395
500	396	394
501	396	393
502	397	392
503	397	391
504	398	390
505	398	389
506	399	388
507	399	387
508	400	386
509	400	385
510	401	384
511	401	382
512	402	381
513	402	380
514	403	379
515	403	378
516	404	377
517	404	376
518	405	375
519	405	374
520	406	373
521	406	372
522	407	371
523	407	370
524	408	369
525	408	368
526	409	367
527	409	366
528	410	365
529	410	364
530	411	363
531	411	362
532	412	361
533	412	360
534	413	359
535	413	358
536	414	357
537	414	356
538	415	355
539	415	354
540	416	353
541	416	352
542	417	351
543	417	350
544	418	349
545	418	348
546	419	347
547	420	346
548	420	345
549	421	344
550	421	343
551	422	342
552	422	341
553	423	340
554	423	339
555	424	338
556	424	337
557	425	337
558	425	336
559	426	335
560	426	334
561	427	333
562	427	332
563	428	331
564	428	330
565	429	329
566	429	328
567	430	327
568	430	326
569	431	325
570	431	324
571	432	323
572	432	322
573	433	321
574	433	320
575	434	319
576	434	318
577	435	317
578	435	316
579	436	316
580	436	315
581	437	314
582	437	313
583	438	312
584	438	311
585	439	310
586	439	309
587	440	308
588	440	307
589	441	306
590	442	305
591	442	304
592	443	304
593	443	303
594	443	302
595	444	301
596	444	300
597	445	299
598	445	298
599	446	297
600	447	296
601	447	296
602	448	295
603	448	294
604	449	293
605	449	292
606	450	291
607	450	290
608	451	289
609	451	288
610	452	287
611	452	287
612	453	286
613	453	285
614	454	284
615	454	283
616	455	282
617	455	281
618	456	280
619	456	279
620	457	279
621	457	278
622	458	277
623	458	276
624	459	275
625	460	274
626	460	273
627	461	273
628	461	272
629	462	271
630	462	270
631	463	269
632	463	268
633	464	267
634	464	267
635	465	266
636	465	265
637	466	264
638	466	263
639	466	262
640	467	261
641	467	260
642	468	260
643	469	259
644	469	258
645	470	257
646	470	256
647	471	255
648	471	255
649	472	254
650	472	253
651	473	252
652	473	251
653	474	250
654	474	250
655	475	249
656	475	248
657	476	247
658	476	246
659	477	245
660	477	244
661	478	244
662	478	243
663	479	242
664	479	241
665	480	240
